Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source
2024-05-16 00:55:11,211.44.112.195,8.223.25.237,44349,27215,TCP,570,Control,DNS,-,,82.36,,DDoS,Known Pattern B,Ignored,High,Shlok Hegde,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_4 rv:4.0; rw-RW) AppleWebKit/533.19.5 (KHTML like Gecko) Version/4.0.2 Safari/533.19.5,Segment C,Berlin.Toronto,,,,Server
2024-05-16 16:00:03,254.174.151.171,42.119.82.9,6065,57780,TCP,1275,Control,HTTP,-,,91.42,,Malware,Known Pattern B,Ignored,Low,Mamooty Lad,Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; ro-RO) AppleWebKit/532.3.2 (KHTML like Gecko) Version/3.0.5 Mobile/8B116 Safari/6532.3.2,Segment A,Berlin.Los Angeles,,Log Data,Alert Data,Server
2024-05-16 15:32:57,162.38.37.84,14.29.135.81,44979,17200,TCP,1092,Data,DNS,-,,0.56,Alert Triggered,Intrusion,Known Pattern A,Ignored,Low,Rania Srivastava,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_0) AppleWebKit/536.0 (KHTML like Gecko) Chrome/37.0.839.0 Safari/536.0,Segment B,Jehanabad.Manipur,55.57.146.214,,Alert Data,Firewall
2024-05-16 08:47:08,149.213.3.136,108.153.206.39,32197,11575,TCP,385,Control,DNS,-,,24.35,Alert Triggered,DDoS,Known Pattern A,Blocked,Low,Jhanvi Chauhan,Mozilla/5.0 (Windows 95) AppleWebKit/531.0 (KHTML like Gecko) Chrome/42.0.863.0 Safari/531.0,Segment C,Hangzhou.Atlanta,136.208.71.15,,,Firewall
2024-05-16 14:20:14,114.191.5.15,183.206.242.164,43799,55052,UDP,785,Control,DNS,-,IoC Detected,91.26,Alert Triggered,DDoS,Known Pattern A,Ignored,Medium,Kartik Sen,Mozilla/5.0 (Linux; Android 2.1) AppleWebKit/536.1 (KHTML like Gecko) Chrome/55.0.864.0 Safari/536.1,Segment C,Atlanta.London,,,,Firewall
2024-05-16 15:59:16,14.31.207.205,83.255.222.131,50542,30247,TCP,635,Data,HTTP,-,IoC Detected,96.73,Alert Triggered,DDoS,Known Pattern B,Logged,Medium,Badal Chanda,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/4828-02-22 16:01:42 Firefox/3.6.15,Segment C,Bhusawal.Gujarat,,,Alert Data,Server
2024-05-16 07:11:26,164.29.17.240,29.118.251.87,57633,7134,UDP,197,Data,HTTP,-,,76.79,,DDoS,Known Pattern B,Ignored,High,Riya Kapoor,Mozilla/5.0 (Linux; Android 3.2.3) AppleWebKit/533.0 (KHTML like Gecko) Chrome/63.0.809.0 Safari/533.0,Segment C,Toronto.Madrid,83.103.116.200,Log Data,,Server
2024-05-16 08:01:49,75.187.41.59,18.165.163.170,6287,56298,UDP,628,Data,FTP,-,,23.32,,Malware,Known Pattern A,Blocked,Low,Madhup Datta,Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/535.7.4 (KHTML like Gecko) Version/4.0.1 Safari/535.7.4,Segment A,Suryapet.Kerala,,,,Firewall
2024-05-16 02:01:32,52.213.191.50,34.218.22.248,26417,33320,TCP,1262,Control,HTTP,-,,72.78,,Intrusion,Known Pattern B,Logged,Medium,Jiya Sant,Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/531.15.3 (KHTML like Gecko) Version/4.0 Safari/531.15.3,Segment B,Bhusawal.Gujarat,29.181.127.11,Log Data,,Server
2024-05-16 15:45:48,10.50.226.12,211.202.205.7,53529,16459,TCP,288,Data,HTTP,-,IoC Detected,21.21,Alert Triggered,Malware,Known Pattern B,Ignored,Medium,Mohanlal Cherian,Opera/9.37.(Windows NT 6.1; ur-IN) Presto/2.9.176 Version/12.00,Segment B,Kurnool.Rajasthan,140.41.128.158,,,Firewall
